byte,bit,nummer
260,6,701006
260,7,701007
261,0,701008
261,1,701009
261,2,701010
261,3,701011
261,4,701012
261,5,701013
261,6,701014
261,7,701015
262,0,701016
262,1,701017
262,2,701018
262,3,701019
262,4,701020
262,5,701021
262,6,701022
262,7,701023
263,0,701024
263,1,701025
263,2,701026
263,3,701027
263,4,701028
263,5,701029
263,6,701030
263,7,701031
264,0,701032
264,1,701033
264,2,701034
264,3,701035
264,4,701036
264,5,701037
264,6,701038
264,7,701039
265,0,701040
265,1,701041
265,2,701042
265,3,701043
265,4,701044
265,5,701045
265,6,701046
265,7,701047
266,0,701048
266,1,701049
266,2,701050
266,3,701051
266,4,701052
266,5,701053
266,6,701054
266,7,701055
267,0,701056
267,1,701057
267,2,701058
267,3,701059
267,4,701060
267,5,701061
267,6,701062
267,7,701063
268,0,701100
268,1,701101
268,2,701102
268,3,701103
268,4,701104
268,5,701105
268,6,701106
268,7,701107
269,0,701108
269,1,701109
269,2,701110
269,3,701111
269,4,701112
269,5,701113
269,6,701114
269,7,701115
270,0,701116
270,1,701117
270,2,701118
270,3,701119
270,4,701120
270,5,701121
270,6,701122
270,7,701123
271,0,701124
271,1,701125
271,2,701126
271,3,701127
271,4,701128
271,5,701129
271,6,701130
271,7,701131
272,0,701132
272,1,701133
272,2,701134
272,3,701135
272,4,701136
272,5,701137
272,6,701138
272,7,701139
273,0,701140
273,1,701141
273,2,701142
273,3,701143
273,4,701144
273,5,701145
273,6,701146
273,7,701147
274,0,701148
274,1,701149
274,2,701150
274,3,701151
274,4,701152
274,5,701153
274,6,701154
274,7,701155
275,0,701156
275,1,701157
275,2,701158
275,3,701159
275,4,701160
275,5,701161
275,6,701162
275,7,701163
276,0,701200
276,1,701201
276,2,701202
276,3,701203
276,4,701204
276,5,701205
276,6,701206
276,7,701207
277,0,701208
277,1,701209
277,2,701210
277,3,701211
277,4,701212
277,5,701213
277,6,701214
277,7,701215
278,0,701216
278,1,701217
278,2,701218
278,3,701219
278,4,701220
278,5,701221
278,6,701222
278,7,701223
279,0,701224
279,1,701225
279,2,701226
279,3,701227
279,4,701228
279,5,701229
279,6,701230
279,7,701231
280,0,701232
280,1,701233
280,2,701234
280,3,701235
280,4,701236
280,5,701237
280,6,701238
280,7,701239
281,0,701240
281,1,701241
281,2,701242
281,3,701243
281,4,701244
281,5,701245
281,6,701246
281,7,701247
282,0,701248
282,1,701249
282,2,701250
282,3,701251
282,4,701252
282,5,701253
282,6,701254
282,7,701255
283,0,701256
283,1,701257
283,2,701258
283,3,701259
283,4,701260
283,5,701261
283,6,701262
283,7,701263
284,0,701300
284,1,701301
284,2,701302
284,3,701303
284,4,701304
284,5,701305
284,6,701306
284,7,701307
285,0,701308
285,1,701309
285,2,701310
285,3,701311
285,4,701312
285,5,701313
285,6,701314
285,7,701315
286,0,701316
286,1,701317
286,2,701318
286,3,701319
286,4,701320
286,5,701321
286,6,701322
286,7,701323
287,0,701324
287,1,701325
287,2,701326
287,3,701327
287,4,701328
287,5,701329
287,6,701330
287,7,701331
288,0,701332
288,1,701333
288,2,701334
288,3,701335
288,4,701336
288,5,701337
288,6,701338
288,7,701339
289,0,701340
289,1,701341
289,2,701342
289,3,701343
289,4,701344
289,5,701345
289,6,701346
289,7,701347
290,0,701348
290,1,701349
290,2,701350
290,3,701351
290,4,701352
290,5,701353
290,6,701354
290,7,701355
291,0,701356
291,1,701357
291,2,701358
291,3,701359
291,4,701360
291,5,701361
291,6,701362
291,7,701363
292,0,701400
292,1,701401
292,2,701402
292,3,701403
292,4,701404
292,5,701405
292,6,701406
292,7,701407
293,0,701408
293,1,701409
293,2,701410
293,3,701411
293,4,701412
293,5,701413
293,6,701414
293,7,701415
294,0,701416
294,1,701417
294,2,701418
294,3,701419
294,4,701420
294,5,701421
294,6,701422
294,7,701423
295,0,701424
295,1,701425
295,2,701426
295,3,701427
295,4,701428
295,5,701429
295,6,701430
295,7,701431
296,0,701432
296,1,701433
296,2,701434
296,3,701435
296,4,701436
296,5,701437
296,6,701438
296,7,701439
297,0,701440
297,1,701441
297,2,701442
297,3,701443
297,4,701444
297,5,701445
297,6,701446
297,7,701447
298,0,701448
298,1,701449
298,2,701450
298,3,701451
298,4,701452
298,5,701453
298,6,701454
298,7,701455
299,0,701456
299,1,701457
299,2,701458
299,3,701459
299,4,701460
299,5,701461
299,6,701462
299,7,701463
300,0,701500
300,1,701501
300,2,701502
300,3,701503
300,4,701504
300,5,701505
300,6,701506
300,7,701507
301,0,701508
